objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
gib001000019005,https://adrian-gibson.github.io/001/GIB001000019005.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Mary and Jesus Nativity""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019005,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019006,https://adrian-gibson.github.io/001/GIB001000019006.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Exterior""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019006,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019007,https://adrian-gibson.github.io/001/GIB001000019007.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St Michael""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019007,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019008,https://adrian-gibson.github.io/001/GIB001000019008.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St Michael book""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019008,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019009,https://adrian-gibson.github.io/001/GIB001000019009.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Saints north side screen""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019009,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019010,https://adrian-gibson.github.io/001/GIB001000019010.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""St George [flash]""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019010,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019011,https://adrian-gibson.github.io/001/GIB001000019011.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Ranworth Saints S [south] side screen""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019011,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019012,https://adrian-gibson.github.io/001/GIB001000019012.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Ranworth St Barbara [flash]""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019012,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019013,https://adrian-gibson.github.io/001/GIB001000019013.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Lectern with music, Ranworth""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019013,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
gib001000019014,https://adrian-gibson.github.io/001/GIB001000019014.jpg,,,"Norfolk: [St Helen's Church], Ranworth ""Ranworth St Barbara""",,,,Stone;Wood;Religious,Norfolk,52.679403,1.4844078,"Welsh School of Architecture, Cardiff University",GIB001000019014,Image;StillImage,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by-sa/4.0/
